Time	trailing_price	Low	Weighted_Price_Average	High	close_price	N_Transactions	Volume	Bid_Index	Ask_Index	EMA_12	EMA_26	EMA_DIF	MACD	EMA_Up	EMA_Down	RSI	TSI	EMA_Volume	OBV_Delta
1510053314	7181.81	7181.8	7181.81	7181.81	7181.81	22	1.44333954	6947.01	7413.23	7182.41263	7182.076681	0.163789	0.17216	0.58703	0.665278	46.88	3.18	5.92308897	0.0
1510053434	7181.81	7181.81	7181.87	7181.93	7181.9	34	1.23617223	6946.96	7413.31	7182.329148	7182.061371	0.184587	0.08319	0.551528	0.617758	47.17	2.11	5.20202486	1.23617223
1510053554	7181.9	7181.89	7181.9	7181.9	7181.9	27	0.68837835	6945.82	7413.16	7182.263125	7182.049418	0.190411	0.023296	0.512133	0.573632	47.17	1.22	4.5076177	0.0
1510053674	7181.9	7181.89	7181.9	7181.9	7181.9	30	5.04523684	6946.18	7413.02	7182.20726	7182.03835	0.186111	-0.017201	0.475552	0.532658	47.17	0.46	4.59032834	0.0
1510053794	7181.9	7181.9	7181.9	7181.9	7181.9	28	3.42562303	6947.2	7412.86	7182.159989	7182.028102	0.175266	-0.043379	0.441584	0.494611	47.17	-0.19	4.41114291	0.0
1510053914	7181.9	7181.89	7181.9	7181.9	7181.9	23	3.15363954	6946.64	7413.92	7182.119991	7182.018613	0.160488	-0.05911	0.410042	0.459282	47.17	-0.76	4.21768085	0.0
1510054034	7181.9	7181.89	7182.87	7185.41	7185.41	27	1.50103954	6945.68	7413.3	7182.235377	7182.081679	0.15913	-0.005432	0.631468	0.426476	59.69	2.16	3.79973603	1.50103954
1510054154	7185.41	7185.4	7188.35	7194.18	7194.18	66	7.47592772	6952.74	7427.11	7183.176088	7182.545999	0.253322	0.376767	1.212792	0.396013	75.38	12.14	4.36530398	7.47592772
1510054274	7194.18	7194.17	7194.86	7195.0	7194.99	58	7.13448518	6953.44	7427.92	7184.973613	7183.458147	0.505751	1.009715	1.184021	0.367726	76.3	19.89	4.79133186	7.13448518
1510054394	7194.99	7194.99	7199.38	7201.0	7201.0	54	8.73912347	6955.79	7431.61	7187.18998	7184.637544	0.915088	1.637348	1.528734	0.34146	81.74	29.28	5.39868442	8.73912347
1510054514	7201.0	7201.0	7206.33	7210.0	7210.0	63	5.55267757	6956.89	7433.63	7190.134598	7186.244393	1.510111	2.380094	2.062396	0.31707	86.67	40.1	5.42237567	5.55267757
1510054634	7210.0	7201.42	7207.77	7210.0	7206.22	52	5.26805956	6959.92	7434.54	7192.847737	7187.838882	2.20986	2.798995	1.915082	0.564422	77.24	43.59	5.39863473	-5.26805956
1510054754	7206.22	7204.0	7205.39	7206.16	7204.0	53	2.62632304	6959.94	7433.91	7194.777316	7189.138965	2.895558	2.742793	1.77829	0.682678	72.26	43.97	4.97212524	-2.62632304
1510054874	7204.0	7202.26	7203.31	7204.0	7202.26	38	5.27211894	6958.05	7434.06	7196.090037	7190.188671	3.49672	2.404646	1.651269	0.758201	68.53	42.78	5.01827812	-5.27211894
1510054994	7202.26	7201.58	7206.51	7210.0	7206.51	34	4.26032734	6957.39	7434.07	7197.693108	7191.397658	4.056466	2.238984	1.836893	0.704044	72.29	43.27	4.90167031	4.26032734
1510055114	7206.51	7201.99	7203.7	7206.15	7202.0	34	2.22637801	6957.07	7432.69	7198.617245	7192.308943	4.506833	1.801469	1.705686	0.975898	63.61	40.24	4.49008688	-2.22637801
1510055234	7202.0	7194.39	7200.51	7205.98	7194.39	86	12.67453637	6956.62	7432.32	7198.908438	7192.916429	4.803868	1.188141	1.583851	1.449762	52.21	32.89	5.74923296	-12.67453637
1510055354	7194.39	7198.99	7200.31	7205.77	7205.77	83	7.05682291	6955.64	7431.62	7199.124063	7193.464101	4.975087	0.684875	2.283576	1.346208	62.91	31.35	5.95040064	7.05682291
1510055474	7205.77	7205.76	7205.97	7205.98	7205.98	40	6.04619869	6958.51	7434.23	7200.177284	7194.390464	5.137434	0.649386	2.135463	1.25005	63.08	30.35	5.9651388	6.04619869
1510055594	7205.98	7205.76	7205.97	7205.98	7205.98	34	3.17748031	6958.48	7434.15	7201.068471	7195.248207	5.274	0.546264	1.98293	1.160761	63.08	29.64	5.53626826	0.0
1510055714	7205.98	7199.75	7204.84	7205.98	7205.09	48	8.76349041	6958.29	7433.76	7201.648706	7195.95871	5.357199	0.332797	1.841292	1.141421	61.73	28.64	6.03276398	-8.76349041
1510055834	7205.09	7193.0	7196.08	7206.0	7205.92	65	30.30686825	6956.29	7433.73	7200.791982	7195.967694	5.250617	-0.426329	1.769057	1.059891	62.53	28.1	9.76724156	30.30686825
1510055954	7205.92	7202.0	7204.2	7210.0	7209.0	77	15.2498203	6959.45	7436.72	7201.316292	7196.577494	5.148253	-0.409455	1.862696	0.984184	65.43	28.55	10.61071521	15.2498203
1510056074	7209.0	7202.0	7202.86	7209.66	7202.02	59	10.04359353	6956.79	7433.4	7201.553786	7197.042865	5.020787	-0.509866	1.729646	1.412457	55.05	25.44	10.52346572	-10.04359353
1510056194	7202.02	7202.0	7203.53	7207.06	7202.0	59	7.05671956	6957.43	7433.58	7201.857819	7197.523394	4.883515	-0.54909	1.6061	1.312996	55.02	23.02	9.99012016	-7.05671956
1510056314	7202.0	7200.0	7200.73	7204.79	7200.0	100	12.74654784	6955.15	7431.88	7201.684308	7197.76092	4.69149	-0.768102	1.491379	1.362068	52.27	20.18	10.41418596	-12.74654784
